step,cpu,ram,cos(theta1),sin(theta1),theta_dot1,cos(theta2),sin(theta2),theta_dot2,reward
175,6.2,482.390625,0.9630274,0.26940334,-0.6140118,-0.78929687,0.45560473,1.5562712,-1.0
176,7.4,482.390625,0.94854236,0.31665033,-0.25342268,-0.96735567,0.0002596091,2.542926,-1.0
177,6.0,482.390625,0.97159696,0.23664178,0.4135174,-0.91049623,-0.87303126,4.343383,-1.0
178,7.2,482.390625,0.99970496,-0.024289876,0.9956503,-0.093168944,-1.6311893,5.934136,-1.0
179,6.3,482.390625,0.95741594,-0.2887122,0.5552147,0.83170706,-0.89713144,4.5202427,-1.0
180,7.5,482.390625,0.9297085,-0.3682963,-0.14404723,0.9895708,0.030787945,2.8429048,-1.0
181,7.5,482.390625,0.9553493,-0.29547876,-0.5411826,0.84090513,0.6851084,1.4923579,-1.0
182,7.9,482.390625,0.9912106,-0.13229361,-0.7086931,0.7055169,0.93584424,0.72695386,-1.0
183,6.9,482.390625,0.99781847,0.06601744,-0.7489335,0.66264516,0.9993042,-0.078144655,-1.0
184,6.5,482.390625,0.969511,0.24504797,-0.70196086,0.7122155,0.77568704,-0.56041455,-1.0
185,9.2,482.390625,0.93699,0.34935606,-0.61068285,0.79187524,0.29789627,-0.63121074,-1.0
186,9.3,482.390625,0.93471074,0.35540944,-0.50368756,0.8638859,-0.22836325,-0.67222226,-1.0
187,8.0,482.390625,0.96307033,0.26925004,-0.36683166,0.93028736,-0.64739865,-0.8993496,-1.0
188,9.8,482.390625,0.9924644,0.12253292,-0.14160411,0.98992336,-0.79122686,-1.5118562,-1.0
189,8.5,482.390625,0.9998788,-0.015568899,0.25910825,0.96584827,-0.52107084,-2.6053843,-1.0
190,6.0,482.390625,0.9987855,-0.049270034,0.81410336,0.58072,0.20560332,-4.27797,-1.0
191,10.4,482.390625,0.99969214,0.024810916,0.9545628,-0.29800993,0.3820392,-4.6320276,-1.0
192,8.7,482.390625,0.99845785,0.055515345,0.41364726,-0.9104372,-0.13692759,-3.6406014,-1.0
193,7.4,482.390625,0.99917644,-0.040576164,-0.13381839,-0.9910059,-0.7453029,-2.0516865,-1.0
194,7.8,482.390625,0.9784966,-0.206263,-0.41997135,-0.9075374,-0.849401,-1.0338378,-1.0
195,7.5,482.390625,0.9423481,-0.3346341,-0.5850264,-0.8110143,-0.44585317,-0.94539946,-1.0
196,6.5,482.390625,0.93034065,-0.3666964,-0.7389888,-0.6737177,0.114947096,-1.1539924,-1.0
197,6.2,482.390625,0.95656407,-0.2915222,-0.88824135,-0.45937702,0.66566837,-1.4699985,-1.0
198,7.1,482.390625,0.9926952,-0.120649375,-0.98830557,-0.15248637,1.0411699,-1.7637588,-1.0
199,7.5,482.390625,0.9961089,0.08813113,-0.9829588,0.18382603,0.9980736,-1.6059899,-1.0
200,7.0,482.390625,0.96686596,0.2552845,-0.88504446,0.46550655,0.6609808,-1.3776618,-1.0
201,7.3,482.390625,0.94035983,0.3401814,-0.72915316,0.68435055,0.21393844,-1.3232969,-1.0
202,7.4,482.390625,0.9393694,0.34290686,-0.50447667,0.8634253,-0.16910298,-1.5979409,-1.0
203,17.7,482.390625,0.96227145,0.2720912,-0.19994833,0.9798064,-0.53850555,-1.7372993,-1.0
204,14.8,482.390625,0.98651904,0.16364643,0.21795677,0.9759584,-0.50833553,-2.5529554,-1.0
205,6.8,482.40625,0.99635077,0.08535325,0.729105,0.68440187,-0.25574413,-3.421168,-1.0
206,16.5,482.40625,0.9969062,0.07860021,0.99884236,-0.04810318,0.09715178,-4.3871946,-1.0
207,21.2,482.40625,0.99846584,0.055371296,0.66148454,-0.7499588,-0.4095842,-3.4158754,-1.0
208,9.4,482.40625,0.99706364,-0.07657768,0.15217163,-0.9883541,-0.8644948,-2.3072407,-1.0
209,9.4,482.40625,0.96412456,-0.26545015,-0.20331092,-0.97911423,-0.97121435,-1.365927,-1.0
210,9.7,482.40625,0.90401405,-0.4275028,-0.3989376,-0.91697806,-0.6960072,-0.7793583,-1.0
211,7.9,482.40625,0.8670698,-0.49818674,-0.5370404,-0.8435565,-0.076807,-0.8323616,-1.0
212,7.2,482.421875,0.8893442,-0.45723832,-0.6682397,-0.743946,0.5406432,-0.82119715,-1.0
213,3.5,482.421875,0.9538069,-0.30042046,-0.7894176,-0.6138565,1.1255224,-0.9259337,-1.0
214,6.7,482.421875,0.9987926,-0.049125478,-0.8742329,-0.4855068,1.3795985,-0.5620554,-1.0
215,4.0,482.421875,0.9740891,0.22616471,-0.904897,-0.4256307,1.3319939,-0.05051817,-1.0
216,3.4,482.421875,0.8961829,0.44368485,-0.87226415,-0.48903504,0.9317952,0.8207007,-1.0
217,0.0,482.421875,0.83892345,0.5442495,-0.6894909,-0.72429436,0.18220001,2.2243383,-1.0
218,4.2,482.4375,0.8622095,0.50655186,-0.18965094,-0.9818516,-0.6522763,3.525337,-1.0
219,5.0,482.453125,0.95917255,0.2828216,0.6617352,-0.7497377,-1.7980019,5.6557207,-1.0
220,3.2,482.453125,0.99309886,-0.11728012,0.9358103,0.352504,-2.0003896,5.9546447,-1.0
221,3.7,482.453125,0.9021735,-0.4313733,0.14633173,0.9892356,-1.1867805,4.5213943,-1.0
222,3.3,482.453125,0.8402093,-0.54226226,-0.52982825,0.84810495,-0.12302909,2.611185,-1.0
223,3.0,482.453125,0.86893517,-0.49492598,-0.8097253,0.5868091,0.6400286,1.2918719,-1.0
224,3.2,482.453125,0.9430501,-0.33265078,-0.897938,0.4401219,1.1040356,0.47470832,-1.0
225,3.5,482.453125,0.9959484,-0.08992689,-0.9072861,0.42051393,1.3313935,-0.19646262,-1.0
226,3.5,482.453125,0.9865988,0.16316518,-0.88253003,0.470256,1.1541795,-0.29902217,-1.0
227,3.0,482.453125,0.93866754,0.34482348,-0.86241496,0.5062019,0.69017094,-0.06441351,-1.0
228,3.5,482.453125,0.9093144,0.41610977,-0.8776906,0.47922772,0.067703426,0.3996594,-1.0
229,8.2,482.453125,0.9292109,0.3695499,-0.93376017,0.35789943,-0.56189287,0.93735147,-1.0
230,3.5,482.453125,0.9745526,0.22415903,-0.98585665,0.16759065,-0.92836434,1.0224011,-1.0
231,3.5,482.453125,0.9997009,0.02445656,-0.99943274,-0.033677746,-1.0405781,0.97242045,-1.0
232,3.5,482.453125,0.98456013,-0.17504658,-0.9739867,-0.22660536,-0.916908,0.949782,-1.0
233,3.2,482.453125,0.947586,-0.3195008,-0.9197203,-0.39257437,-0.5427796,0.77950555,-1.0
234,2.7,482.453125,0.9273636,-0.37416145,-0.86010593,-0.51011544,-0.028211622,0.5379268,-1.0
235,3.4,482.453125,0.9441255,-0.3295863,-0.81233793,-0.583187,0.49437952,0.3596026,-1.0
236,3.2,482.453125,0.98246074,-0.18646948,-0.7813916,-0.62404096,0.9575234,0.2030658,-1.0
237,4.9,482.453125,0.999541,0.030294826,-0.7463527,-0.66555065,1.1709402,0.4079734,-1.0
238,8.8,482.453125,0.96877474,0.24794255,-0.631838,-0.77510047,0.9679825,1.2525082,-1.0
239,4.7,482.453125,0.92475015,0.38057485,-0.30693218,-0.9517314,0.3639388,2.5382876,-1.0
240,4.0,482.453125,0.93559176,0.3530836,0.3753678,-0.92687595,-0.7141524,4.503418,-1.0
241,11.0,482.453125,0.9915012,0.13009733,0.98948956,-0.14460447,-1.45219,5.6588006,-1.0
242,5.2,482.453125,0.9916896,-0.12865335,0.617595,0.7864963,-0.98355705,4.5349345,-1.0
243,7.4,482.453125,0.9661987,-0.25779855,-0.11329108,0.99356186,-0.3337404,3.2572985,-1.0
244,3.2,482.453125,0.9628918,-0.26988766,-0.60925037,0.7929779,0.17356601,2.2144744,-1.0
245,3.2,482.453125,0.98021394,-0.19794087,-0.84245163,0.538772,0.53055966,1.313016,-1.0
246,3.2,482.453125,0.99678904,-0.08007255,-0.9402559,0.34046865,0.6325953,0.958488,-1.0
247,4.2,482.453125,0.9985226,0.05433878,-0.9794765,0.2015583,0.6845091,0.5395693,-1.0
248,3.7,482.453125,0.98337996,0.18155952,-0.99373525,0.11175969,0.5732103,0.41429657,-1.0
249,4.2,482.453125,0.96242946,0.2715318,-0.9997683,0.021524603,0.3350501,0.524066,-1.0
250,4.3,482.453125,0.95164555,0.30719817,-0.99406546,-0.1087836,0.03378078,0.80448115,-1.0
251,3.5,482.453125,0.95842195,0.28535473,-0.95297736,-0.30304143,-0.25396457,1.200423,-1.0
252,7.7,482.453125,0.9793246,0.2022952,-0.8050684,-0.593182,-0.5892016,2.091584,-1.0
253,3.0,482.453125,0.9978853,0.06499985,-0.42282456,-0.90621156,-0.7928446,2.9322815,-1.0
254,3.7,482.453125,0.9921845,-0.12477934,0.27374545,-0.9618022,-1.1314478,4.2605042,-1.0
255,3.5,482.453125,0.934243,-0.356637,0.9357287,-0.35272044,-1.1845684,4.9179316,-1.0
256,3.9,482.453125,0.85888517,-0.5121682,0.8505205,0.5259419,-0.4062406,3.944121,-1.0
