step,cpu,ram,cos(theta1),sin(theta1),theta_dot1,cos(theta2),sin(theta2),theta_dot2,reward
32,6.2,281.03125,0.43635222,-0.8997759,0.5854381,0.8107171,1.3503484,-5.41757,-1.0
33,0.0,281.03125,0.7666761,-0.64203405,0.94998425,-0.31229773,2.6439247,-6.8075633,-1.0
34,7.0,281.03125,0.9885288,-0.15103266,-0.033648524,-0.99943376,2.6943133,-5.823954,-1.0
35,6.5,281.03125,0.93246526,0.36125964,-0.88084424,-0.4734062,2.4786747,-4.6869473,-1.0
36,9.2,281.03125,0.68999654,0.72381264,-0.93400955,0.35724804,1.8441807,-3.9529505,-1.0
37,0.0,281.03125,0.46191102,0.8869263,-0.45382428,0.8910912,0.9636653,-3.412781,-1.0
38,8.6,281.03125,0.37944955,0.92521244,0.12049366,0.9927141,-0.050798226,-2.521748,-1.0
39,8.9,281.015625,0.45689374,0.8895213,0.5714776,0.8206177,-0.76717436,-2.4297707,-1.0
40,7.7,281.015625,0.62966657,0.7768655,0.90113115,0.43354654,-1.2737575,-2.746081,-1.0
41,7.2,280.46875,0.8339959,0.5517706,0.99307823,-0.11745486,-1.8170263,-2.7764585,-1.0
42,6.7,280.46875,0.9896571,0.14345309,0.8343649,-0.55121255,-2.5806699,-1.7475861,-1.0
43,6.5,280.46875,0.91377825,-0.40621343,0.6971122,-0.7169621,-2.9131413,-0.48460543,-1.0
44,9.5,280.46875,0.5711421,-0.8208512,0.6690465,-0.74322057,-2.409203,-0.075287685,-1.0
45,0.0,280.46875,0.22369544,-0.9746591,0.6245144,-0.7810133,-1.358663,-0.6375857,-1.0
46,7.4,280.46875,0.07585621,-0.9971188,0.4273114,-0.90410453,-0.1276099,-1.7457739,-1.0
47,0.0,280.46875,0.17367366,-0.98480326,-0.03142182,-0.99950624,1.1094339,-2.971106,-1.0
48,16.2,280.1875,0.49507478,-0.86885035,-0.6681501,-0.7440265,2.3170755,-3.9838898,-1.0
49,19.9,279.265625,0.88582623,-0.46401712,-0.9991418,0.041420214,3.2945755,-4.8370724,-1.0
50,19.0,277.484375,0.9799881,0.19905609,-0.45026764,0.8928936,3.4176245,-5.8805833,-1.0
51,0.0,277.375,0.6384934,0.7696273,0.7686254,0.6396992,3.3520293,-7.5251064,-1.0
52,21.1,277.40625,0.12788956,0.9917884,0.74047846,-0.6720801,2.0407214,-6.286768,-1.0
53,19.3,277.40625,-0.08853475,0.99607307,-0.23334408,-0.9723942,0.08336483,-4.412283,-1.0
54,20.5,277.40625,0.091299295,0.9958235,-0.80620766,-0.59163266,-1.8290743,-2.60498,-1.0
55,0.0,277.40625,0.5766263,0.817008,-0.9525191,-0.3044787,-3.300922,-0.68208194,-1.0
56,20.5,277.40625,0.9777475,0.20978524,-0.9541832,-0.299223,-4.005035,0.4950446,-1.0
57,20.6,277.40625,0.83432585,-0.5512716,-0.8934188,-0.4492247,-3.7843673,0.9603929,-1.0
58,20.9,277.390625,0.30970913,-0.95083135,-0.7987284,-0.6016917,-2.8567624,0.6977908,-1.0
59,28.2,254.65625,-0.13165195,-0.991296,-0.78977793,-0.6133929,-1.6208491,-0.6279247,-1.0
60,21.7,229.234375,-0.34102365,-0.9400547,-0.9220786,-0.38700262,-0.55403084,-2.0198712,-1.0
61,20.0,143.5,-0.33910817,-0.9407474,-0.9858213,0.16779867,0.6107837,-3.6429317,-1.0
62,19.4,143.515625,-0.07658108,-0.99706334,-0.4785261,0.87807333,2.1573505,-5.489858,-1.0
63,22.3,140.46875,0.52059555,-0.8538034,0.7696899,0.6384179,4.121534,-8.475906,-1.0
64,6.8,140.4375,0.9933945,-0.114748955,0.47856742,-0.8780508,4.5709195,-8.233063,-1.0
65,6.9,140.453125,0.73334324,0.67985857,-0.777683,-0.6286566,4.0296063,-5.794912,-1.0
66,8.7,140.296875,0.108695105,0.9940751,-0.94774306,0.31903458,3.0238774,-4.3916225,-1.0
67,6.9,140.296875,-0.3688465,0.9294903,-0.45304134,0.8914895,1.8733705,-3.3746588,0.0
